Student ID,Grade level,Overall Math Level,Overall ELA Level,BOY Math Level,BOY ELA Level,Prior SBAC Math Level (#)
DEMO-0000,8,657,788,655,717,2
DEMO-0001,6,546,620,527,576,2
DEMO-0002,6,797,644,777,559,3
DEMO-0003,7,655,903,635,846,1
DEMO-0004,7,800,828,764,765,3
DEMO-0005,7,744,757,717,689,4
DEMO-0006,6,592,637,575,612,1
DEMO-0007,7,650,825,633,777,1
DEMO-0008,7,814,789,805,700,4
DEMO-0009,7,690,826,663,774,1
DEMO-0010,8,935,965,909,885,3
DEMO-0011,8,744,774,685,705,2
DEMO-0012,8,810,675,752,659,2
DEMO-0013,8,845,853,788,787,4
DEMO-0014,8,837,861,769,831,1
DEMO-0015,6,500,678,492,621,1
DEMO-0016,8,749,807,706,763,2
DEMO-0017,7,688,736,645,684,1
DEMO-0018,6,532,700,494,649,2
DEMO-0019,6,663,704,594,647,4
DEMO-0020,6,655,761,579,718,1
DEMO-0021,8,639,682,591,657,1
DEMO-0022,8,652,723,610,691,2
DEMO-0023,8,696,972,686,902,2
DEMO-0024,6,615,704,605,617,3
DEMO-0025,7,878,818,835,762,4
DEMO-0026,7,672,732,644,663,1
DEMO-0027,8,826,817,820,746,3
DEMO-0028,6,515,671,487,646,2
DEMO-0029,7,616,680,580,665,2
DEMO-0030,7,539,633,492,582,1
DEMO-0031,8,803,766,775,752,2
DEMO-0032,7,786,764,760,718,4
DEMO-0033,7,675,806,645,784,2
DEMO-0034,7,824,887,791,848,4
DEMO-0035,7,722,785,713,748,4
DEMO-0036,6,602,693,557,630,2
DEMO-0037,6,649,790,580,751,2
DEMO-0038,6,646,593,602,564,3
DEMO-0039,6,703,578,699,525,3
DEMO-0040,8,737,812,705,701,1
DEMO-0041,7,511,747,512,685,2
DEMO-0042,6,615,817,618,804,3
DEMO-0043,7,653,727,611,673,2
DEMO-0044,6,603,760,571,656,1
DEMO-0045,7,846,717,829,662,3
DEMO-0046,8,711,894,719,817,2
DEMO-0047,6,670,710,663,635,4
DEMO-0048,7,785,798,752,722,3
DEMO-0049,7,744,815,714,742,4
DEMO-0050,8,900,800,858,742,3
DEMO-0051,7,666,871,609,823,2
DEMO-0052,6,547,733,523,687,1
DEMO-0053,6,693,599,655,544,3
DEMO-0054,7,766,795,739,735,3
DEMO-0055,7,823,669,802,643,3
DEMO-0056,6,623,663,597,616,4
DEMO-0057,7,843,661,796,610,3
DEMO-0058,7,681,812,670,758,1
DEMO-0059,6,515,892,464,846,2
DEMO-0060,8,632,973,575,905,1
DEMO-0061,6,511,713,481,664,2
DEMO-0062,8,875,783,840,738,4
DEMO-0063,8,680,885,676,858,1
